EPC (ID) RFID;CODIGO INTERNO (CCB);Objeto;Quant;Marca;Modelo;Num.Série;ALTURA  METROS;LARGURA METROS;COMPRIMENTO METROS;TIPO DE MATERIAL (AÇO, MADEIRA, PEDRA e ETC);POTÊNCIA (WATS);TENSÃO (110V/220) VOLTS;LOCALIZAÇÃO;"ANO - LANÇ.CONTABIL";"CONTA CONTABIL";"MÊS ARQUIVO";"PACOTEARQUIVO";"Nº N.F";"DATA N.F";FORNECEDOR;"VALOR DO BEM";OBSERVAÇÃO;"CONTA CONTÁBIL CORRETA"
AA0001;;Amplificador som;1;0;LN-400T-Q;0;0;0;0;METAL;0;110;SALAO DE ORAÇAO;2012;1101;9;S1;948;24/08/12;LUIZ SCHIAVINATO - ME ;R$ 1.100,00;;
;;Armário;1;0;0;0;2,8;0;1,32; MADEIRA ;0;0;SECRETARIA;;;;;;;;;;
;;Armário;1;0;0;0;1,9;0;0,42; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Armário bíblia e hinário;1;0;0;0;1,1;0;4,25; MADEIRA ;0;0;ÁTRIO FRONTAL;;;;;;;;;;
;;Arquivo;1;0;0;0;1,34;0;0,47;METAL;0;0;SECRETARIA;;;;;;;;;;
;;Banco para Músico;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 243,60;Incluso 5 estantes da nota 943;
;;Banco para Músico;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 243,60;Incluso 5 estantes da nota 943;
;;Banco para Músico;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 243,60;Incluso 5 estantes da nota 943;
;;Banco para Músico;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 243,60;Incluso 5 estantes da nota 943;
;;Banco para Músico;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 243,60;Incluso 5 estantes da nota 943;
;;Banco para Músico;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 243,60;Incluso 5 estantes da nota 943;
;;Banco para Músico;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 243,60;Incluso 5 estantes da nota 943;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;2001;1101;1;MANUT;759;17/01/01;Ind. Móveis Zanovello;R$ 183,60;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2,7; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;2; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;1,35; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Banco;1;0;0;0;0;0,75;1; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Bateria;1;MOURA;0;B050411A0356;0;0;0;PLASTICO;0;0;0;;;;;;;;;;
;;Bateria;1;MOURA;0;B050411A0356;0;0;0;PLASTICO;0;0;0;;;;;;;;;;
;;Bebedouro;1;0;0;0;0;0;0;METAL;0;0;CORREDOR IRMÃOS;;;;;;;;;;
;;Bebedouro;1;0;0;0;0;0;0;METAL;0;0;CORREDOR IRMÃS;;;;;;;;;;
;;Cadeira comum;1;0;0;0;0;0;0; MADEIRA ;0;0;SECRETARIA;;;;;;;;;;
;;Cadeira comum;1;0;0;0;0;0;0; MADEIRA ;0;0;SECRETARIA;;;;;;;;;;
;;Cadeira comum;1;0;0;0;0;0;0; MADEIRA ;0;0;SECRETARIA;;;;;;;;;;
;;Cadeira comum;1;0;0;0;0;0;0; MADEIRA ;0;0;SECRETARIA;;;;;;;;;;
;;Cadeira comum;1;0;0;0;0;0;0; MADEIRA ;0;0;SECRETARIA;;;;;;;;;;
;;Cadeira de púlpito;1;0;0;0;0;0;0; MADEIRA ;0;0;SALAO DE ORAÇAO;2000;1101;12;MANUT;943;08/12/00;Osvaldo Zanovelo ME;R$ 140,00;;
;;Cadeira de púlpito;1;0;0;0;0;0;0; MADEIRA ;0;0;SALAO DE ORAÇAO;2000;1101;12;MANUT;943;08/12/00;Osvaldo Zanovelo ME;R$ 140,00;;
;;Cadeira de rodas;1;0;0;0;0;0;0;METAL;0;0;0;;;;;;;;;;
;;Caixa de coleta;1;0;0;0;0,45;0;0,4; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Caixa de coleta;1;0;0;0;0,45;0;0,4; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Caixa de som;1;0;0;0;0;0;0; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Caixa de som;1;0;0;0;0;0;0; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Caixa de som;1;0;0;0;0;0;0; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Caixa de som;1;0;0;0;0;0;0; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Central de alarme;1;PPA;0;0;0;0;0;METAL;0;0;0;;;;;;;;;;
;;Cofre;1;0;0;0;1,1;0;0,45;METAL;0;0;SECRETARIA;;;;;;;;;;
;;Escrivaninha;1;0;0;0;0;0,6;1,28; MADEIRA ;0;0;SECRETARIA;;;;;;;;;;
;;Gradil do órgão;1;0;0;0;0;1,35;1,48; MADEIRA ;0;0;SALAO DE ORAÇAO;2000;1101;12;MANUT;943;08/12/00;Osvaldo Zanovelo ME;R$ 400,00;;
;;Maca;1;0;0;0;0;0;0;METAL;0;0;0;2008;1101;3;MANUT;1840;08/03/08;M.R. FALCO ME ;R$ 169,00;;
;;Maq. lavar roupas;1;0;0;0;0;0;0;METAL;0;0;0;;;;;;;;;;
;;Maq. lavar roupas;1;0;0;0;0;0;0;METAL;0;0;0;;;;;;;;;;
;;Mesa;1;0;0;0;0;0,87;1,39; MADEIRA ;0;0;SECRETARIA;;;;;;;;;;
;;Mesa p/ Santa Ceia;1;0;0;0;0;0,62;1,16; MADEIRA ;0;0;0;;;;;;;;;;
;;Microfone;1;LESON;SM58P4;0;0;0;0;METAL;0;0;SALAO DE ORAÇAO;2001;710;4;ADM;710;24/04/01;N. DA SILVA - ME;R$ 115,00;;
;;Microfone;1;LESON;SM58P4;0;0;0;0;METAL;0;0;SALAO DE ORAÇAO;2001;710;4;ADM;710;24/04/01;N. DA SILVA - ME;R$ 115,00;;
;;Microfone;1;LESON;SM58P4;0;0;0;0;METAL;0;0;SALAO DE ORAÇAO;2001;710;4;ADM;710;24/04/01;N. DA SILVA - ME;R$ 115,00;;
;;Microfone;1;LESON;SM58P4;0;0;0;0;METAL;0;0;SALAO DE ORAÇAO;2001;710;4;ADM;710;24/04/01;N. DA SILVA - ME;R$ 115,00;;
;;Órgão;1;0;0;0;0;0;0; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Relógio de parede;1;0;0;0;0;0;0;PLASTICO;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Relógio de parede;1;0;0;0;0;0;0;PLASTICO;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Tapume p/ bancos madeira (genuflexório);1;0;0;0;0,51;0;2; MADEIRA ;0;0;SALAO DE ORAÇAO;;;;;;;;;;
;;Tribuna;1;0;0;0;1,15;0,46;1; MADEIRA ;0;0;SALAO DE ORAÇAO;2000;1101;12;MANUT;943;08/12/00;Osvaldo Zanovelo ME;R$ 680,00;;
;;Ventilador parede;1;0;0;0;0;0;0;PLASTICO/METAL;0;0;SALAO DE ORAÇAO;2007;3016;2;MANUT;3710;02/02/07;CASSEB & ORSI;R$ 185,00;;
;;Ventilador parede;1;0;0;0;0;0;0;PLASTICO/METAL;0;0;SALAO DE ORAÇAO;2007;3016;2;MANUT;3710;02/02/07;CASSEB & ORSI;R$ 185,00;;